Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Telstar (instrumental),The Tornados,17 August 1962 (1962-08-17)[citation needed],"Space age pop, [, 1, ], surf rock, [, 2, ], rock and roll, [, 3, ]",3:15,", Decca,  (UK), [, 4, ], 
, London,  (USA),",Joe Meek,Joe Meek
Temperature (song),Sean Paul,5 December 2005 (2005-12-05),Dancehall,"3:36 (album version)
3:06 (radio edit)",", Atlantic, 
, VP,","Sean Paul Henriques, Adrian ""IZES"" Marshall, Rohan Fuller","Rohan ""Snowcone"" Fuller"
Texas Hold 'Em (song),Beyoncé,"February 11, 2024","Country pop, western, soul","3:53 (album version)
3:59 (radio edit)
3:24 (radio version without outro)",", Parkwood, 
, Columbia,",,"Beyoncé, Killah B, Nathan Ferraro"
Thank God I Found You,"Mariah Carey, Joe, 98 Degrees","November 15, 1999","Pop, R&B",4:17,Columbia,"Mariah Carey, James Harris III, Terry Lewis","Mariah Carey, Jimmy Jam and Terry Lewis"
Thank God I'm a Country Boy,John Denver,March 1975,"Country, [, 1, ], soft rock, [, 2, ]",3:132:47 (single edit),RCA Victor,John Martin Sommers,Milton Okun
"Thank U, Next (song)",Ariana Grande,"November 3, 2018 (2018-11-03)","Pop, R&B",3:27,Republic,,"Tommy Brown, Social House"
Thank You (Falettinme Be Mice Elf Agin),Sly and the Family Stone,December 1969,"Funk, [, 1, ]",4:50,Epic,"Sylvester Stewart, [, 2, ]",Sly Stone
That's the Way Love Goes (Janet Jackson song),Janet Jackson,"April 20, 1993 (1993-04-20)","R&B, pop, new jack swing, funk, downtempo, trip hop",4:24,Virgin,"Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson"
That's the Way (I Like It),KC and the Sunshine Band,"June 10, 1975 (1975-06-10)","Disco, [, 1, ], [, 2, ], funk, [, 1, ]",3:06 (radio edit)5:07 (album version),TK,"Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch"
That's What Friends Are For,Rod Stewart,1982,Pop,3:54,Warner Bros.,"Burt Bacharach, Carole Bayer Sager",
That's What I Like (Bruno Mars song),Bruno Mars,"January 30, 2017 (2017-01-30)","Hip hop soul, new jack swing, R&B, funk",3:26,Atlantic,"Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, Ray McCullough II","Shampoo Press & Curl, The Stereotypes, (co.)"
Tha Crossroads,Bone Thugs-n-Harmony,"April 23, 1996 (1996-04-23)",Hip hop,3:44,Ruthless,"Bone, Tim Middleton, Tony-C",Tim Middleton
Theme from A Summer Place,Percy Faith,September 1959[5],"Easy listening, [, 7, ], waltz, [, 7, ]",2:25,"Columbia, /, CBS Records",,
Theme from Mahogany (Do You Know Where You're Going To),Diana Ross,"September 24, 1975","Soul, [, 1, ]",3:25,Motown,"Michael Masser, Gerald Goffin",Michael Masser
Theme from Shaft,Isaac Hayes,"September 30, 1971","Soul, funk, disco",3:15 (single edit)4:34 (album version),"Enterprise, ENA-9038",Isaac Hayes,Isaac Hayes
Theme from S.W.A.T.,Rhythm Heritage,November 1975,"Disco, funk, [, 1, ]",3:21,ABC,Barry De Vorzon,"Michael Omartian, Steve Barri"
Then Came You (Dionne Warwick and the Spinners song),"Dionne Warwick, the Spinners","July 13, 1974","Philadelphia soul, [, 1, ], proto-disco, [, 1, ]",3:53,Atlantic,"Sherman Marshall, Phillip Pugh",Thom Bell
There'll Be Sad Songs (To Make You Cry),Billy Ocean,22 January 1986,"Soul, [, 1, ]",4:55,Jive,"Billy Ocean, Wayne Brathwaite, Barry Eastmond","Barry J. Eastmond, Wayne Brathwaite"
There! I've Said It Again,Vaughn Monroe and his Orchestra,February 1945 (1945-02),Popular music,3:05,Victor 20-1637,"Redd Evans, David Mann",
These Boots Are Made for Walkin',Nancy Sinatra,"December 16, 1965","Pop, [, 2, ], go-go, [, 3, ], folk rock, [, 4, ], country, [, 5, ]",2:40,Reprise,"Lee Hazlewood, [, 6, ]","Lee Hazlewood, [, 7, ]"
These Dreams,Heart,January 1986,"Rock, [, 1, ], synth-pop, [, 2, ]","4:15 (album version)
3:46 (single and video version)","Capitol, , , Epic","Bernie Taupin, Martin Page",Ron Nevison
The Ballad of the Green Berets,Barry Sadler,January 1966,"Country, folk, pop, march, [, 1, ]",2:27,RCA Victor,"Robin Moore, Staff Sgt., Barry Sadler","Andy Wiswell, [, 2, ]"
The Battle of New Orleans,Johnny Horton,"April 6, 1959","Country, novelty, [, 2, ], march, [, 2, ]",2:33,Columbia,Jimmy Driftwood,Don Law
The Box (Roddy Ricch song),Roddy Ricch,"January 11, 2020","Hip hop, [, 2, ], trap, [, 3, ]",3:16,", Atlantic, 
, Bird Vision,","Rodrick Moore, Jr., Samuel Gloade, Adarius Moragne, Aqeel Tate","30 Roc, Datboisqueeze, Zentachi"
The Boy Is Mine (Brandy and Monica song),"Brandy, Monica","May 4, 1998 (1998-05-04)","R&B, [, 2, ]","4:54 (album version)
4:03 (radio version)",Atlantic,"LaShawn Daniels, Rodney Jerkins, Fred Jerkins III, Japhe Tejeda, Brandy Norwood","Darkchild, Brandy, Dallas Austin"
The Candy Man,Aubrey Woods,1971,Musical,2:31,Paramount,"Leslie Bricusse, Anthony Newley",
The Chipmunk Song (Christmas Don't Be Late),"Alvin and the Chipmunks, David Seville","November 17, 1958 source (Billboard 100 Edition Nov 17th 1958. Earliest Mention)","Christmas, pop, novelty","2:21
2:15 (rock version)","Liberty,  , F-55168, Liberty , F-55250",Ross Bagdasarian,Ross Bagdasarian
The First Night,Monica,"July 28, 1998 (1998-07-28)",,3:55,Arista,"Jermaine Dupri, Pam Sawyer, Marilyn McLeod, Tamara Savage",Jermaine Dupri
The First Time Ever I Saw Your Face,Roberta Flack,"March 7, 1972 (1972-03-07)","Soul, vocal jazz","5:22
4:20 (1972 radio edit)","Atlantic,  2864",Ewan MacColl,Joel Dorn
The First Time (Surface song),Surface,"October 1990
 October 11, 1990

 December 6, 1990","R&B, [, 1, ], quiet storm, [, 1, ]",4:16,Columbia,"Brian Simpson, Bernard Jackson",Surface
The Flame (Cheap Trick song),Cheap Trick,"April 5, 1988","Soft rock, [, 1, ], hair metal, [, 2, ]","4:44 (7"" edit/video version)5:37 (album version)",Epic,"Bob Mitchell, Nick Graham",Richie Zito
The Game of Love (Wayne Fontana and the Mindbenders song),"Wayne Fontana, The Mindbenders",22 January 1965,"Blues rock, [, 1, ], beat, [, 2, ], blue-eyed soul, [, 3, ]",2:04,Fontana,Clint Ballard Jr.,
The Greatest Love of All,George Benson,June 1977,"Smooth jazz, R&B, soul","5:32 (full album version)
3:29 (edited single version)",Arista,"Michael Masser, (composition), Linda Creed, (lyrics)",Michael Masser
The Happening (song),The Supremes,"March 20, 1967","Pop, [, 1, ]",2:52 (album/single version)3:44 (extended hit mix),"Motown,  , M 1107","Holland–Dozier–Holland, –, DeVol","Brian Holland, Lamont Dozier"
The Happy Organ,"Dave ""Baby"" Cortez",1959,"Instrumental rock, [, 1, ], R&B, [, 1, ]",2:06,Clock,"Dave ""Baby"" Cortez, James J. Kriegsmann, Ken Wood",
The Hills (song),the Weeknd,"May 27, 2015 (2015-05-27)","trap, industrial, electronic, [, 1, ]",4:02,", XO, 
, Republic,","Abel Tesfaye, Emmanuel Nickerson, Carlo Montagnese, Ahmad Balshe, Tom Raybould, [, 2, ]","Illangelo, Mano"
The House of the Rising Sun,the Animals,"June 19, 1964","Folk rock, [, 31, ], blues rock, [, 32, ]","4:29 (album version)
2:59 (radio edit)",", Columbia,","Traditional, arr., by, Alan Price",Mickie Most
The Hustle (song),Van McCoy & the Soul City Symphony,"April 18, 1975","Disco, dance, [, 2, ]",3:29 (single version)  4:10 (album version),Avco Records,Van McCoy,"Hugo Peretti, Luigi Creatore"
The Joker (Steve Miller Band song),Steve Miller Band,October 197330 July 1990 (UK reissue)[1],Rock,"4:26 (album version)
3:36 (single version)",Capitol,"Eddie Curtis, Ahmet Ertegun, Steve Miller",Steve Miller
The Letter (Box Tops song),the Box Tops,August 1967 (1967-08),"Pop rock, blue-eyed soul",1:58,Mala,Wayne Carson,Dan Penn
The Lion Sleeps Tonight,the Tokens,1961,"Rhythm and blues, doo-wop, folk, [, 1, ]",2:41,RCA Victor,"Solomon Linda, Hugo Peretti, Luigi Creatore, George David Weiss, Albert Stanton",
The Living Years,Mike + The Mechanics,27 December 1988[1],Soft rock,5:32,"Atlantic, , , WEA","B. A. Robertson, Mike Rutherford","Christopher Neil, Mike Rutherford"
The Loco-Motion,Little Eva,June 1962,"Pop, rhythm and blues",2:27,Dimension 1000,"Gerry Goffin, Carole King",Gerry Goffin
The Long and Winding Road,the Beatles,11 May 1970,"Pop, [, 1, ], rock, [, 2, ]",3:40,Apple,Lennon–McCartney,Phil Spector
The Look,Roxette,12 January 1989 (1989-01-12),"Pop rock, glam rock, synth-rock",3:57,EMI,Per Gessle,Clarence Öfwerman
The Love You Save,the Jackson 5,"May 13, 1970 (U.S.)","Bubblegum, -, soul, [, 1, ]",3:00,"Motown, M 1166","The Corporation, (, Berry Gordy, Freddie Perren, Alphonzo Mizell, and, Deke Richards, ), [, 2, ]",The Corporation
The Monster (song),"Eminem, Rihanna","October 29, 2013 (2013-10-29)",Pop rap,4:12,"Aftermath, Shady, Interscope","Bebe Rexha, Marshall Mathers, Robyn Fenty, Aaron Kleinstub, Jonathan Bellion, Bryan Fryzel, Maki Athanasiou",Frequency
The Morning After (Maureen McGovern song),Maureen McGovern,May 1973,Pop,2:14,20th Century,"Joel Hirschhorn, Al Kasha, [, 1, ]",Carl Maduri
The Most Beautiful Girl,Charlie Rich,29 August 1973[1],"Country, [, 3, ], country pop, [, 4, ], blue-eyed soul, [, 5, ]",2:43,Epic,"Rory Bourke, Billy Sherrill, Norro Wilson",Billy Sherrill
The Next Time I Fall,"Peter Cetera, Amy Grant",September 1986[1],Pop,"3:47 (remix) 
3:46 (album version)

4:30 (extended version)",Warner Bros.,"Bobby Caldwell, Paul Gordon",Michael Omartian
The Night Chicago Died,Paper Lace,15 June 1974,Pop rock,3:30,"Bus Stop (UK), , Philips,  (Europe), , Polydor,  (Canada), , Mercury,  (US), , Nippon Phonogram,  (Japan), , EMI,  (Australia/New Zealand)","Peter Callander, Mitch Murray","Peter Callander, Mitch Murray"
The Night the Lights Went Out in Georgia,Vicki Lawrence,7 November 1972[1],Country pop,3:40,Bell,Bobby Russell,Snuff Garrett
The One That You Love,Air Supply,30 April 1981,Soft rock,4:17,Arista,Graham Russell,Harry Maslin
The Power of Love (Huey Lewis and the News song),Huey Lewis and the News,"June 17, 1985[1]","Pop rock, [, 2, ], power pop, [, 3, ]","3:53 (single version)
7:10 (12-inch long version)",Chrysalis,"Huey Lewis, Chris Hayes, Johnny Colla",Huey Lewis and the News
The Power of Love (Jennifer Rush song),Jennifer Rush,December 1984 (1984-12),Pop,"6:00 (album version)
4:20 (single version)",CBS,,"Gunther Mende, Candy DeRouge"
The Promise of a New Day,Paula Abdul,"July 5, 1991[1]","Dance-pop, [, 2, ]","4:32 (album version)
4:13 (7-inch edit)",Virgin,"Paula Abdul, Peter Lord, Sandra St. Victor, V. Jeffrey Smith","Peter Lord, V. Jeffrey Smith"
The Reflex,Duran Duran,16 April 1984 (1984-04-16)[1],"Dance-pop, [, 2, ], synth-pop, [, 3, ], new wave, [, 4, ], funk, [, 5, ]","5:29 (album version)
4:25 (single version)",", EMI, 
, Capitol,","Simon Le Bon, John Taylor, Roger Taylor, Andy Taylor, Nick Rhodes","Duran Duran, Alex Sadkin, Ian Little"
The Scotts,,"April 24, 2020",,2:45,", Epic, 
, Cactus Jack, 
, Wicked Awesome,","Jacques Webster II, Scott Mescudi, David Biral, Denzel Baptiste, Oladipo Omishore, Patrick Reynolds, Mike Dean","Take a Daytrip, Dot da Genius, Plain Pat"
The Sign (song),Ace of Base,1 November 1993,"Techno-reggae, Europop, pop",3:08,", Arista, 
, Mega,",Jonas Berggren,"Berggren, Denniz Pop, Douglas Carr"
The Sound of Silence,Simon & Garfunkel,"October 19, 1964 (original acoustic version) September 12, 1965 (1965-09-12) (overdubbed electric version)","Folk rock, [, 1, ]",3:05,Columbia,Paul Simon,Tom Wilson
The Streak (song),Ray Stevens,February 1974[1],"Country, novelty, comedy",3:18,Barnaby,Ray Stevens,Ray Stevens
The Stripper,David Rose,May 1962,"Jazz, [, 1, ]",1:57,MGM,David Rose,
The Tears of a Clown,Smokey Robinson & the Miracles,"July 1970 (UK)  September 24, 1970 (US)","Soul, pop, [, 2, ]",3:02,"Tamla, T 54199","Hank Cosby, Smokey Robinson, Stevie Wonder",Hank Cosby and Smokey Robinson
The Three Bells,The Browns,"July 3, 1959","Country, [, 1, ], folk, [, 1, ]",2:47,RCA Victor,"Jean Villard, &, Bert Reisfeld",Chet Atkins
The Tide Is High,the Paragons,1967,"Rocksteady, [, 1, ]",2:43,Treasure Isle,John Holt,
The Twist (song),Chubby Checker,June 1960,"Pop, [, 13, ], rock and roll, [, 14, ]",2:34,"Parkway,  811",Hank Ballard,Dave Appell
The Way It Is (Bruce Hornsby song),Bruce Hornsby and the Range,July 1986 (UK)[1]September 1986 (worldwide),"Soft rock, [, 2, ], pop, [, 3, ]",4:58,RCA,Bruce Hornsby,"Bruce Hornsby, Elliot Scheiner"
The Way We Were (song),Barbra Streisand,"September 27, 1973 (1973-09-27)","Pop, [, 1, ], soft rock, [, 2, ], easy listening, [, 3, ]",3:29,Columbia,"Alan Bergman, Marilyn Bergman, Marvin Hamlisch",Marty Paich
The Way You Make Me Feel,Michael Jackson,"November 9, 1987 (1987-11-09)","Pop, R&B","4:58 (album/video version)
4:26 (single version)",", Epic, 
, CBS,",Michael Jackson,"Quincy Jones, Michael Jackson (, co., )"
The Way You Move,"OutKast, Sleepy Brown","August 25, 2003 (2003-08-25)","Hip hop soul, [, 1, ], Southern hip hop, [, 2, ]",3:55,"LaFace, , , Arista","Antwan Patton, Carlton Mahone, Patrick Brown","Big Boi, Carl-Mo"
This Diamond Ring,Gary Lewis & the Playboys,January 1965 (1965-01),Pop rock,2:15,Liberty,"Al Kooper, Bob Brass, Irwin Levine",Snuff Garrett
This Guy's in Love with You,Herb Alpert,May 1968 (1968-05),"Pop, easy listening",3:55,A&M,"Burt Bacharach, Hal David","Herb Alpert, Jerry Moss"
This Is America (song),Childish Gambino,"May 6, 2018","Hip hop, [, 1, ], Afrobeats, [, 2, ], trap",3:45,"mcDJ, RCA","Donald Glover, Ludwig Göransson, Jeffery Lamar Williams, [, 3, ]","Donald Glover, Ludwig Göransson"
This Is How We Do It,Montell Jordan,"February 6, 1995","New jack swing, [, 1, ], hip hop soul, [, 2, ], R&B, [, 3, ]","4:37 (album version)
3:59 (radio edit)
3:39 (without rap)",", Rush Associated Labels, 
, PMP, 
, Def Jam,","Montell Jordan, Oji Pierce, Ricky Walters","Montell Jordan, Oji Pierce"
This Is the Night (Clay Aiken song),Clay Aiken,"June 10, 2003 (2003-06-10)","Pop, [, 2, ]",3:32,RCA,"Aldo Nova, Gary Burr, Chris Braide",Steve Mac
This Is Why I'm Hot,Mims,"December 12, 2006",Hip hop,4:13,"American King Music, , , Capitol Records",Shawn Mims,"Blackout Movement, Mike Moosh"
This Used to Be My Playground,Madonna,"June 16, 1992",Pop,5:08,"Sire, Warner Bros.","Madonna, Shep Pettibone","Madonna, Shep Pettibone"
Three Times a Lady,Commodores,"June 9, 1978 (US)[1]","Pop, [, 2, ], soft rock, [, 3, ], adult contemporary, [, 4, ], soul, [, 5, ], R&B","3:36 (7"") 6:36 (12"")",Motown,Lionel Richie,"James Anthony Carmichael, & Commodores"
Thrift Shop,"Macklemore & Ryan Lewis, Wanz","August 27, 2012 (2012-08-27)","Pop-rap, [, 1, ], [, 2, ], comedy hip hop",3:55,", Macklemore LLC,","Ben Haggerty, Ryan Lewis",Lewis
Ticket to Ride (song),the Beatles,9 April 1965 (1965-04-09),"Power pop, [, 1, ], jangle pop, [, 2, ], folk rock, [, 3, ]",3:10,"Parlophone,  (UK), , Capitol,  (US)",Lennon–McCartney,George Martin
Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn featuring Tony Orlando,"February 19, 1973",Pop,3:20,Bell,"Irwin Levine, L. Russell Brown","Hank Medress, Dave Appell"
Tighten Up (Archie Bell & the Drells song),Archie Bell & the Drells,1968,"Funk, soul, [, 1, ]",3:15 (Part 1),Atlantic,"Archie Bell, Billy Buttler",
Tik Tok (song),Kesha,"August 7, 2009","Dance-pop, electropop",3:20,RCA,"Kesha Sebert, Lukasz Gottwald, Benjamin Levin","Dr. Luke, Benny Blanco"
Timber (Pitbull song),"Pitbull, Kesha","October 7, 2013 (2013-10-07)","Dance-pop, EDM, folktronica",3:24,", Polo Grounds, 
, RCA, 
, Mr. 305,","Kesha Sebert, Armando C. Pérez, Lukasz Gottwald, Aaron Davis Arnold, Priscilla Hamilton, Jamie Sanderson, Breyan Isaac, Henry Walter, Pebe Sebert, Lee Oskar, Keri Oskar, Greg Errico, Steve Arrington, Charles Carter, Waung Hankerson, Roger Parker, [, 1, ]","Dr. Luke, Cirkut, Sermstyle"
Time After Time (Cyndi Lauper song),Cyndi Lauper,"March 12, 1984 (UK)[1]March 27, 1984 (US)[2]","Pop, [, 3, ], [, 4, ], new wave, [, 5, ], [, 6, ], soft rock, [, 7, ]",4:01,"Epic, Portrait","Cyndi Lauper, Rob Hyman",Rick Chertoff
Time in a Bottle,Jim Croce,November 1973,"Psychedelic folk, [, 1, ]",2:29,ABC,Jim Croce,"Terry Cashman, Tommy West"
Together Again (Janet Jackson song),Janet Jackson,"December 1, 1997 (1997-12-01)","Dance-pop, house","4:09 (single version)
5:01 (album version)",Virgin,"Janet Jackson, James Harris III, Terry Lewis, René Elizondo Jr.","Jimmy Jam and Terry Lewis, Janet Jackson"
Together Forever (Rick Astley song),Rick Astley,15 February 1988[1],Dance-pop,3:24,", RCA, 
, BMG,",Stock Aitken Waterman,Stock Aitken Waterman
Tom Dooley (song),The Kingston Trio,,Folk,,,Thomas Land,
Tonight's the Night (Gonna Be Alright),Rod Stewart,May 1976 (International)September 1976 (US),"Soft rock, [, 1, ], pop, [, 2, ]",3:56 (album version)3:34 (edit),"Riva,  (UK); , Warner Bros.,  (US)",Rod Stewart,Tom Dowd
Toosie Slide,Drake,"April 3, 2020 (2020-04-03)","Trap, [, 1, ]",4:07,", Republic, 
, OVO,","Aubrey Graham, Ozan Yildirim",OZ
Too Close (Next song),Next,"January 27, 1998 (1998-01-27)",,4:20,Arista,"Kay Gee, Terry Brown, Robert Huggar, Raphael Brown",Kay Gee
Too Much Heaven,Bee Gees,24 October 1978 [1],"Soul, [, 2, ], R&B",4:58,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson"
"Too Much, Too Little, Too Late","Johnny Mathis, Deniece Williams","February 21, 1978","Soul, [, 1, ], [, 2, ]",3:00,Columbia,"John Vallins, Nat Kipner",Jack Gold
Too Sweet,Hozier,22 March 2024 (2024-03-22),"Soul, [, 1, ], pop rock, [, 2, ]",4:11,", Rubyworks, 
, Island,","Andrew Hozier-Byrne, Daniel Tannenbaum, Peter Gonzales, Sergiu Gherman, Stuart Johnson, Tyler Mehlenbacher, Daniel Krieger","Hozier, Bekon, Chakra, Sergiu Gherman, Peter Gonzales"
Top of the World (The Carpenters song),Carpenters,"September 17, 1973[1]","Soft rock, [, 2, ], pop, [, 3, ]",2:56,"A&M, 1468","Richard Carpenter, John Bettis",Jack Daugherty
Torn Between Two Lovers (song),Mary MacGregor,November 1976,"Soft rock, [, 1, ]",3:40,Ariola,"Peter Yarrow, Phillip Jarrell","Peter Yarrow, Barry Beckett"
Tossin' and Turnin',Bobby Lewis,"April 30, 1961","R&B, [, 1, ]",2:29,Beltone,"Ritchie Adams, Malou René",Joe René
Total Eclipse of the Heart,Bonnie Tyler,11 February 1983 (UK)[1]12 June 1983 (US)[2],"Pop rock, [, 4, ], power pop, [, 5, ]","6:58 (album version)
4:30 (single edit)
5:34 (video version)",", CBS, 
, Columbia,",Jim Steinman,Jim Steinman
Touch Me in the Morning (song),Diana Ross,"May 3, 1973","Pop, adult contemporary",3:26 (single version),Motown,"Ron Miller, Michael Masser","Michael Masser, Tom Baird"
Touch My Body,Mariah Carey,"February 12, 2008","Pop, R&B",3:24,Island,"Mariah Carey, Crystal Johnson, Terius Nash, Christopher Stewart","Mariah Carey, Tricky Stewart"
Toy Soldiers (song),Martika,"April 26, 1989 (1989-04-26)[1]","Pop rock, [, 2, ]","4:47 (album version)
4:23 (single version)",Columbia,"Martika, Michael Jay",Michael Jay
To Be with You,Mr. Big,"November 22, 1991 (1991-11-22)","Glam metal, [, 1, ], [, 2, ], soft rock, [, 3, ]",3:27,Atlantic,"Eric Martin, David Grahame",Kevin Elson
To Know Him Is to Love Him,The Teddy Bears,September 1958[1],Pop,2:18,Doré,"Phil Spector, [, 2, ]",
To Sir with Love (song),Lulu,September 1967,"Pop, [, 1, ]",2:47,Epic,,Mickie Most
Tragedy (Bee Gees song),Bee Gees,February 1979,"Dance-rock, [, 1, ], disco",5:03,RSO,"Barry, Robin & Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson"
Travelin' Man,Ricky Nelson,April 1961,"Pop, [, 2, ], doo-wop, [, 2, ]",2:24,"Imperial Records,  #5741",Jerry Fuller,Joe Johnson (Challenge Records)
Trollz (song),"6ix9ine, Nicki Minaj","June 12, 2020 (2020-06-12)",Hip hop,"3:22
3:06 (alternative version)",", Scumgang, 
, Create, 
, 10K Projects,","Daniel Hernandez, Onika Maraj, Jeremiah Raisen, Aaron Clarke","SadPony, Jahnei Clarke (co.)"
True Colors (Cyndi Lauper song),Cyndi Lauper,"August 15, 1986[1]","Synth-rock, [, 2, ]",3:46,Epic,"Tom Kelly, Billy Steinberg","Cyndi Lauper, Lennie Petze"
Truly Madly Deeply (song),Savage Garden,3 March 1997,Pop,4:37,", Roadshow Music, 
, Warner Music,","Darren Hayes, Daniel Jones",Charles Fisher
Truly (Lionel Richie song),Lionel Richie,September 1982,Pop,3:26,Motown,Lionel Richie,"Lionel Richie, James Anthony Carmichael"
Truth Hurts (song),Lizzo,"September 19, 2017 (original)March 22, 2019 (Re-released)","Trap, hip hop, pop",2:53,", Atlantic, 
, Nice Life,","Melissa Jefferson, Eric Frederic, Jesse Saint John, Steven Cheung, Amina Bogle-Barriteau","Ricky Reed, Tele, (co.)"
Try Again (Aaliyah song),Aaliyah,"March 21, 2000 (2000-03-21)","R&B, electro, dance-pop, trip hop","4:45 (album version)
4:05 (radio edit)",", Blackground, 
, Virgin,","Timothy Mosley, Stephen Garrett",Timbaland
Try That in a Small Town,Jason Aldean,"May 22, 2023 (2023-05-22)","Country, [, 1, ]",3:01,BBR,"Kelley Lovelace, Neil Thrasher, Tully Kennedy, Kurt Allison",Michael Knox
TSOP (The Sound of Philadelphia),"MFSB, The Three Degrees","February 6, 1974 (U.S.)  March 29, 1974 (UK)","Philadelphia soul, [, 1, ], disco, [, 1, ]","3:43 (album cut)3:29 (single version)5:48 (12"" version)",Philadelphia International Records,Gamble and Huff,Kenneth Gamble and Leon Huff
Turn! Turn! Turn!,the Byrds,"October 1, 1965","Folk rock, jangle pop",3:49,Columbia,"Pete Seeger, (words from the, Book of Ecclesiastes, )",Terry Melcher
Two Hearts (Phil Collins song),Phil Collins,14 November 1988,"Pop, soul",3:23,", Atlantic, 
, Virgin, 
, WEA,","Phil Collins, Lamont Dozier","Phil Collins, Lamont Dozier"
Umbrella (song),"Rihanna, Jay-Z","March 29, 2007 (2007-03-29)","Pop, hip hop, R&B",4:36,", Def Jam, 
, SRP,","Christopher Stewart, Terius Nash, Kuk Harrell, Shawn Carter",Tricky Stewart
Unbelievable (EMF song),EMF,22 October 1990 (UK)[1]3 November 1990 (US)[2],"Dance-rock, alternative rock, [, 3, ], alternative dance",3:30,"Parlophone,  (UK), EMI,  (US)",EMF,Ralph Jezzard
Uncle Albert/Admiral Halsey,"Paul, Linda McCartney",2 August 1971 (US only),"Progressive pop, [, 1, ]",4:49,Apple,Paul and Linda McCartney,Paul and Linda McCartney
Undercover Angel (song),Alan O'Day,February 1977,"Pop, [, 1, ]",4:12 (album version)3:24 (single version),Pacific,Alan O'Day,"Steve Barri, and, Michael Omartian"
Unholy (Sam Smith and Kim Petras song),"Sam Smith, Kim Petras","September 22, 2022 (2022-09-22)","Electropop, synth-pop, dance-pop, EDM",2:36,", Capitol, 
, EMI,","Sam Smith, Kim Petras, James Napier, Ilya Salmanzadeh, Henry Walter, Blake Slatkin, Omer Fedi","Sam Smith, Kim Petras, Ilya, Cirkut, Slatkin, Fedi, Jimmy Napes"
Unpretty,TLC,"May 17, 1999 (1999-05-17)","Pop rock, alternative rock, R&B","4:38 (album version)
4:08 (radio version)",", LaFace, 
, Arista,","Dallas Austin, Tionne Watkins",Dallas Austin
Un-Break My Heart,Toni Braxton,"October 7, 1996 (1996-10-07)","Pop, R&B, [, 1, ]",4:30 (album version)4:26 (remix version),LaFace,Diane Warren,David Foster
Upside Down (Diana Ross song),Diana Ross,"June 18, 1980 (1980-06-18)[1]","Disco, [, 2, ], [, 3, ], pop, [, 3, ]","4:05 (album)
3:37 (single)",Motown,"Nile Rodgers, Bernard Edwards","Nile Rodgers, Bernard Edwards"
Uptown Funk,"Mark Ronson, Bruno Mars",10 November 2014 (2014-11-10),"Funk, -, pop, soul, boogie, disco-pop, Minneapolis sound","4:30 (album version)
3:55 (radio edit)",", Columbia, 
, Sony, 
, RCA,","Mark Ronson, Bruno Mars, Philip Lawrence, Jeff Bhasker, Nicholas Williams, Devon Gallaspy, Charles Wilson, Robert Wilson, Ronnie Wilson, Rudolph Taylor, Lonnie Simmons","Mark Ronson, Jeff Bhasker, Bruno Mars"
Up Where We Belong,"Joe Cocker, Jennifer Warnes","July 22, 1982 (1982-07-22)","Pop, [, 1, ], soft rock, [, 2, ], easy listening, [, 3, ]","4:00 (single)
3:55 (album)",Island,,Stewart Levine
Up (Cardi B song),Cardi B,"February 5, 2021 (2021-02-05)","Hip-hop, trap, pop-rap, [, 1, ]",2:36,Atlantic,"Joshua Baker, Jorden Thorpe, Edis Selmani, CEO Mark Savage, James Steed, Matthew Allen","Yung Dza, DJ SwanQo, Sean Island, DJ Prince"
U Got It Bad,Usher,"August 21, 2001 (2001-08-21)","R&B, [, 1, ], [, 2, ], [, 3, ]",4:07,", Arista, 
, LaFace,","Usher Raymond IV, Jermaine Dupri, Bryan-Michael Cox",Jermaine Dupri
U Remind Me,Usher,"May 22, 2001 (2001-05-22)","R&B, [, 1, ]",4:27,Arista,"Anita McCloud, Edmund Clement","Edmund Clement, Jimmy Jam & Terry Lewis"
Vampire (Olivia Rodrigo song),Olivia Rodrigo,"June 30, 2023 (2023-06-30)","Pop rock, pop",3:39,", Geffen, 
, Interscope,","Olivia Rodrigo, Dan Nigro",Dan Nigro
Venus (Frankie Avalon song),Frankie Avalon,January 1959,Pop,2:20,Chancellor,Ed Marshall,
Venus (Shocking Blue song),Shocking Blue,14 July 1969 (1969-07-14),"Country rock, [, 1, ], dance-rock, [, 2, ], psychedelic rock, [, 3, ]",3:08,Pink Elephant,"Robbie van Leeuwen, [, 4, ]",Robbie van Leeuwen
Vision of Love,Mariah Carey,"May 15, 1990 (1990-05-15)","Pop, soul, [, 3, ], R&B, [, 4, ]",3:29,Columbia,"Mariah Carey, Ben Margulies","Rhett Lawrence, Narada Michael Walden"
