Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
Firework (song),Katy Perry,"October 26, 2010",Dance-pop,3:48,Capitol,"Katy Perry
Mikkel S. Eriksen
Tor Erik Hermansen
Sandy Wilhelm
Ester Dean","Stargate
Sandy Vee",,
Can't Feel My Face,the Weeknd,"June 8, 2015",Popdiscofunkelectro,3:35,XORepublic,Ali PayamiSavan KotechaMax MartinAbel TesfayePeter Svensson,Max MartinAli Payami,,
Stranger on the Shore,Mr. Acker Bilk,October 1961,Jazz,2:52,Columbia DB4750 Atco 45-6217,"Acker Bilk, Robert Mellin",Denis Preston,,
Jessie's Girl,Rick Springfield,February 1981,Power pop,3:14,RCA Records,Rick Springfield,Keith Olsen,,
Tonight's the Night (Gonna Be Alright),Rod Stewart,May 1976 September 1976,"Soft rock
pop",3:56,Riva ; Warner Bros.,Rod Stewart,Tom Dowd,,
The Love You Save,the Jackson 5,"May 13, 1970",Bubblegum-soul,3:00,MotownM 1166,"The Corporation (Berry Gordy, Freddie Perren, Alphonzo Mizell, and Deke Richards) [2]",The Corporation,,
Have You Ever?,Brandy,"October 6, 1998",Pop,4:33,Atlantic,Diane Warren,David Foster,,
Undercover Angel (song),Alan O'Day,February 1977,Pop,3:24,Pacific,Alan O'Day,Steve Barri and Michael Omartian,,
Heat Waves,Glass Animals,29 June 2020,"Psychedelic pop
R&B
pop rock",3:58,"Wolf Tone
Polydor
Republic",Dave Bayley,Dave Bayley,,
"Can't Get Enough of Your Love, Babe",Barry White,"June 28, 1974","Philadelphia soul
proto-disco",3:28,"Philips
20th Century Fox",Barry White,Barry White,,
Who's That Girl (Madonna song),Madonna,"June 29, 1987",Dance-pop,3:58,"Sire
Warner Bros.","Madonna
Patrick Leonard","Madonna
Patrick Leonard",,
Whatcha Say,Jason Derulo,"May 5, 2009  
August 4, 2009","Pop
R&B",3:42,"Beluga Heights
Asylum
Warner Bros.","Jason Desrouleaux
Kisean Anderson
Achraf Baachaoui
J-Lex
Leff Row
J.R. Rotem
Imogen Heap","J.R. Rotem
Fuego",,
Caribbean Queen (No More Love on the Run),Billy Ocean,1984,"Post-disco
funk-pop",3:42,Jive,Billy OceanKeith Diamond,Keith Diamond,,
Lovin' You,Minnie Riperton,"November 29, 1974","Soul
pop ballad",3:20,Epic,"Minnie Riperton
Richard Rudolph","Stevie Wonder
Scorbu Productions[1]",,
Montero (Call Me by Your Name),Lil Nas X,"March 26, 2021",Hip hopelectropop,2:17,Columbia,"Montero Hill
Denzel Baptiste
David Biral
Omer Fedi
Rosario Lenzo[1]","Take a Daytrip
Omer Fedi
Roy Lenzo",,
What's Love Got to Do with It (song),Tina Turner,May 1984,"Pop rock
R&B",3:48,Capitol,"Graham Lyle
Terry Britten",Terry Britten,,
Oh Girl,the Chi-Lites,"March 2, 1972","R&B, soul",3:43,Brunswick,Eugene Record,Eugene Record,,
Ben (song),Michael Jackson,"July 12, 1972","Pop
adult contemporary",2:44,Motown,"Don Black
Walter Scharf",The Corporation,,
Me and Mrs. Jones,Billy Paul,13 September 1972,Philadelphia soul,4:45,Philadelphia International,"Kenny Gamble, Leon Huff, Cary Gilbert","Kenny Gamble, Leon Huff",,
I'll Take You There,the Staple Singers,February 1972,"Funk
gospel
soul",433:16,Stax,Al Bell,Al Bell,,
Life Goes On (BTS song),BTS,"November 20, 2020","Alternative hip hop
synth-pop",3:27,"Big Hit
Columbia","Antonina Armato
Chris James
J-Hope
Pdogg
RM
Ruuth
Suga",Pdogg,,
Industry Baby,"Lil Nas X, Jack Harlow","July 23, 2021","Trap
pop rap",3:32,Columbia,"Montero Hill
Jackman Harlow
Mark Williams
Raul Cubina
Roy Lenzo
Denzel Baptiste
David Biral
Kanye West
Nick Lee[1]","Take a Daytrip
Kanye West",,
The Battle of New Orleans,Johnny Horton,"April 6, 1959","Country
novelty
march",2:33,Columbia,Jimmy Driftwood,Don Law,,
Ruby Tuesday (song),the Rolling Stones,13 January 1967,Baroque poppsychedelic poppsychedelic soul,3:12,"Decca 
London",Jagger–Richards,Andrew Loog Oldham,,
Can't Buy Me Love,the Beatles,"16 March 1964  
20 March 1964","Rock and roll, pop rock, R&B",2:11,"Parlophone , Capitol",Lennon–McCartney,George Martin,,
Unbelievable (EMF song),EMF,22 October 1990 3 November 1990,"Dance-rock
alternative rock
alternative dance",3:30,Parlophone EMI,EMF,Ralph Jezzard,,
Roll with It (Steve Winwood song),Steve Winwood,May 1988,"Funk
R&B",4:30,Virgin,"Steve Winwood
Will Jennings
Holland-Dozier-Holland","Steve Winwood, Tom Lord-Alge",,
Bad and Boujee,"Migos, Lil Uzi Vert","October 28, 2016","Hip hop
trap",5:34,"Quality Control
300
Atlantic","Quavious Keyate Marshall
Kiari Kendrell Cephus
Robert Mandell
Symere Bysil Woods
Leland Tyler Wayne","Metro Boomin
G Koop",,
Independent Women Part I,Destiny's Child,"August 29, 2000",R&B,3:37,Columbia,"Beyoncé Knowles
Samuel Barnes
Cory Rooney
Jean-Claude Olivier","Beyoncé Knowles
Poke and Tone
Cory Rooney",,
Lose You to Love Me,Selena Gomez,"October 23, 2019",Pop,3:26,Interscope,"Selena Gomez
Julia Michaels
Justin Tranter
Mattias Larsson
Robin Fredriksson","Mattman & Robin, Finneas",,
Wait for U,"Future, Drake, Tems","May 3, 2022",R&B,3:10,"Epic
Freebandz","Nayvadius Wilburn
Aubrey Graham
Temilade Openiyi
Michael Mule
Isaac De Boni
Floyd E. Bentley III
Jacob Canady
Tejiri Akpoghene","ATL Jacob
FnZ",,
Sir Duke,Stevie Wonder,"March 22, 1977","Pop
R&B
jazz
soul",3:52,Tamla,Stevie Wonder,Stevie Wonder,,
Hypnotize (The Notorious B.I.G. song),The Notorious B.I.G.,"March 4, 1997",Hip hopEast Coast hip hop,3:49,"Bad Boy
Arista","Christopher Wallace
Sean Combs
Deric Angelettie
Ron Lawrence
Andy Armer
Randy Alpert","D-Dot
Ron ""Amen-Ra"" Lawrence
Sean ""Puffy"" Combs (co.)",,
Theme from A Summer Place,Percy Faith,September 1959,"Easy listening
waltz",2:25,Columbia/CBS Records,,,Mack Discant,Max Steiner
Born This Way (song),Lady Gaga,"February 11, 2011","Electropop
house",4:20,"Streamline
KonLive
Interscope","Stefani Germanotta
Jeppe Laursen","Lady Gaga
Fernando Garibay
Jeppe Laursen
DJ White Shadow",,
You're So Vain,Carly Simon,"November 8, 1972","Soft rock
pop",4:19,Elektra,Carly Simon,Richard Perry[3],,
A Groovy Kind of Love,,1965,,2:02,Disques Vogue,,,Carole Bayer SagerToni Wine,Muzio Clementi
Stronger (What Doesn't Kill You),Kelly Clarkson,"January 17, 2012","Dance-pop
electropop",3:42,RCA,"Greg Kurstin
Jörgen Elofsson
Ali Tamposi
David Gamson
Kelly Clarkson (uncredited)",Greg Kurstin,,
Reason to Believe,Rod Stewart,July 1971,,4:10,Mercury,Tim Hardin,Rod Stewart,,
Sexy and I Know It,LMFAO,"September 16, 2011","Dance
rave-pop
electro house",5:21,Interscope,"Stefan Kendal Gordy
David Jamahl Listenbee
Erin Beck
George M. Robertson
Kenneth Oliver","Audiobot
Redfoo
GoonRock",,
Hold It Against Me,Britney Spears,"January 10, 2011",Dance-pop,3:49,Jive,Max MartinLukasz GottwaldBonnie McKee,Dr. LukeMax MartinBillboard,,
Run It!,"Chris Brown, Juelz Santana","June 30, 2005",,3:50,Jive,Scott StorchSean GarrettLaRon James,Storch,,
There'll Be Sad Songs (To Make You Cry),Billy Ocean,22 January 1986,Soul,4:55,Jive,Billy OceanWayne BrathwaiteBarry Eastmond,Barry J. EastmondWayne Brathwaite,,
Let's Hear It for the Boy,Deniece Williams,1984,"Dance-pop
post-disco",4:20,Columbia,"Tom Snow
Dean Pitchford",George Duke,,
Hold On (Wilson Phillips song),Wilson Phillips,"February 27, 1990",Pop,4:27,SBK,"Carnie Wilson, Chynna Phillips, Glen Ballard",Glen Ballard,,
Set Fire to the Rain,Adele,4 July 2011,Poppower poppop-soul,4:02,XLColumbia,Adele AdkinsFraser T. Smith,Fraser T. Smith,,
Let's Go Crazy,"Prince, The Revolution","July 18, 1984","Hard rock, funk rock",3:50,Warner Bros.,Prince [3],Prince and the Revolution,,
Stronger (Kanye West song),Kanye West,"July 31, 2007","Hip hop
electronica",5:15,"Roc-A-Fella
Def Jam","Kanye West
Thomas Bangalter
Guy-Manuel de Homem-Christo
Edwin Birdsong",Kanye West,,
Get Busy,Sean Paul,27 January 2003,"Dancehall
hip hop",3:32,"VP
Atlantic","Sean Paul Henriques
Steven ""Lenky"" Marsden",Steven Marsden,,
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock","January 25, 2011",Hip house,4:23,"will.i.am
Cherrytree
Interscope
Panther","David Listenbee
Stefan Gordy
Skyler Gordy
Peter Schroeder","GoonRock
Redfoo",,
Hey There Delilah,Plain White T's,"May 9, 2006","Folk-pop
emo pop
emo",3:52,"Hollywood
Fearless",Tom Higgenson,"Jay Bolta
Robert Dimonda
Ariel Rechtshaid
Sean O'Keefe",,
Fire (Ohio Players song),Ohio Players,November 1974,Funk,3:12,Mercury,"Billy Beck, Leroy ""Sugarfoot"" Bonner, Marshall ""Rock"" Jones, Ralph ""Pee Wee"" Middlebrooks, Marvin ""Merv"" Pierce, Clarence ""Satch"" Satchell, James ""Diamond"" Williams",Ohio Players,,
Who Can It Be Now?,Men at Work,25 May 1981 May 1982,Pop rocknew wave,3:23,Columbia,Colin Hay,Peter McIan,,
Dark Horse (Katy Perry song),"Katy Perry, Juicy J","December 17, 2013",Traphip hoppop rapelectropop,3:35,Capitol,Katy PerryJordan HoustonLukasz GottwaldSarah HudsonMax MartinHenry Walter,Dr. LukeMax MartinCirkut,,
"Baby, I Love Your Way/Freebird Medley",Will to Power,August 1988,Freestyle,4:07,Epic,"Peter Frampton
Allen Collins
Ronnie Van Zant",Bob Rosenberg,,
OMG (Usher song),"Usher, will.i.am","March 22, 2010","Dance-pop
electropop
R&B",4:45,LaFace,William Adams,will.i.am,,
Whatever You Like,T.I.,"July 29, 2008","Pop-rap
Southern hip hop",4:09,Grand HustleAtlantic,Clifford HarrisJames SchefferDavid Siegel,Jim Jonsin,,
The Joker (Steve Miller Band song),Steve Miller Band,October 197330 July 1990,Rock,3:36,Capitol,"Eddie Curtis
Ahmet Ertegun
Steve Miller",Steve Miller,,
Owner of a Lonely Heart,Yes,24 October 1983,"Electronic rock
dance-rock
progressive pop
new wave",3:50,Atco,"Trevor Rabin
Jon Anderson
Chris Squire
Trevor Horn",Trevor Horn,,
Wonderland by Night,Bert Kaempfert,August 1960,"Jazz
R&B",3:14,Decca 31141,"Klaus Günter Neumann, Lincoln Chase (English lyrics)",,,
Soldier Boy (The Shirelles song),The Shirelles,March 1962,R&B,2:42,Scepter,"Luther Dixon, Florence Greenberg",Luther Dixon,,
U Got It Bad,Usher,"August 21, 2001",R&B,4:07,"Arista
LaFace","Usher Raymond IV
Jermaine Dupri
Bryan-Michael Cox",Jermaine Dupri,,
Don't Stop 'Til You Get Enough,Michael Jackson,"July 10, 1979","Disco
funk",5:53,Epic,Michael Jackson,"Quincy Jones
Michael Jackson",,
Angie (song),The Rolling Stones,20 August 1973,Soft rockglam rock,4:33,Rolling Stones,Jagger–Richards,Jimmy Miller,,
I Had Some Help,"Post Malone, Morgan Wallen","April 10, 2024",Country pop,2:58,"Republic
Mercury","Austin Post
Morgan Wallen
Louis Bell
Ryan Vojtesak
Jonathan Hoskins
Ernest Keith Smith
Ashley Gorley
Chandler Paul Walters","Louis Bell
Charlie Handsome
Jonathan Hoskins",,
Fancy (Iggy Azalea song),"Iggy Azalea, Charli XCX",17 February  2014,"Electro-hop
electropop
pop rap",3:19,Def JamVirgin EMI,Amethyst KellyCharlotte AitchisonGeorge AstasioJason PebworthJonathan Christopher ShaveKurtis McKenzie,The Invisible Menthe Arcade,,
Confessions Part II,Usher,"June 1, 2004",R&B,3:49,Arista,Usher RaymondJermaine DupriBryan-Michael Cox,Jermaine DupriBryan-Michael Cox,,
At This Moment,Billy Vera and the Beaters,1981,Blue-eyed soul,3:31,Alfa Rhino,Billy Vera,Jeff Baxter,,
Bad Girls (Donna Summer song),Donna Summer,"June 23, 1979","Disco
rock
funk",4:55,Casablanca,"Donna Summer
Bruce Sudano
Joe ""Bean"" Esposito
Edward ""Eddie"" Hokenson","Giorgio Moroder
Pete Bellotte",,
Island Girl,Elton John,29 September 1975,Reggae,3:42,MCA DJM,"Elton John
Bernie Taupin",Gus Dudgeon,,
Islands in the Stream (song),"Kenny Rogers, Dolly Parton","August 15, 1983",Soft rock,4:08,RCA Records,"Barry Gibb
Robin Gibb
Maurice Gibb",Gibb-Galuten-Richardson,,
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B. J. Thomas,January 1975,Countrypolitan,3:23,ABC 12054,"Larry Butler, Chips Moman",Chips Moman,,
I Want You Back,the Jackson 5,"October 7, 1969",Popsoul,2:59,Motown M 1157,"The Corporation – (Berry Gordy
Freddie Perren
Alphonso Mizell
Deke Richards)[2]",The Corporation,,
Alone (i-Ten song),,June 1983,"Rock
AOR",3:58,Epic,"Billy Steinberg
Tom Kelly","Keith Olsen
Steve Lukather",,
Everybody Loves Somebody,Dean Martin,June 1964,Traditional pop,2:48,Reprise,"Sam Coslow, Irving Taylor, Ken Lane",Jimmy Bowen,,
Set Adrift on Memory Bliss,P.M. Dawn,"August 5, 1991","Hip hop
psychedelic pop
dance-rap",4:10,"Gee Street
Island","Gary Kemp
Attrell Cordes",P.M. Dawn,,
Hey Paula (song),Paul & Paula,1962,Pop,2:27,"Le Cam, Philips Sparton",Ray Hildebrand,"Major Bill Smith
Marvin ""Smokey"" Montgomery",,
A Bar Song (Tipsy),Shaboozey,"April 12, 2024",Country,2:53,"American Dogwood
Magnolia
Empire
Republic","Collins Chibueze
Nevin Sastry
Sean Cook
Jerrell Jones
Mark Williams","Nevin Sastry
Sean Cook",,
Papa Was a Rollin' Stone,the Undisputed Truth,"May 9, 1972",Soul,3:25,Gordy,"Norman Whitfield
Barrett Strong",Norman Whitfield,,
In da Club,50 Cent,"January 7, 2003","East Coast hip hop
gangsta rap",3:13,"Aftermath
Shady
Interscope",Curtis JacksonAndre YoungMike Elizondo,Dr. DreMike Elizondo,,
Franchise (song),"Travis Scott, Young Thug, M.I.A.","September 25, 2020",Trap,3:22,"Epic
Cactus Jack","Jacques Webster II
Jeffery Williams
Mathangi Arulpragasam
Travis ""Teddy"" Walton
Chase Benjamin
Aaron Booe
Jamal Willingham
Bernard Leverette
Maurice Gleaton
Gerald Tiller","Scott
Walton",,
Bridge over Troubled Water (song),Simon & Garfunkel,"January 20, 1970",Pop rock · gospel · soft rock,4:55,Columbia,Paul Simon,Roy HaleePaul SimonArt Garfunkel,,
Can't Fight This Feeling,REO Speedwagon,"December 17, 1984","Soft rock
arena rock",4:54,Epic,Kevin Cronin,"Kevin Cronin, Gary Richrath, Alan Gratzer",,
Do Wah Diddy Diddy,Manfred Mann,10 July 1964,Rock,2:23,HMV POP 1320 [4]Ascot Capitol,"Jeff Barry, Ellie Greenwich[4]",John Burgess[4],,
Kansas City (Leiber and Stoller song),Little Willie Littlefield,1952,R&B,,Federal,Jerry Leiber and Mike Stoller,,,
The Promise of a New Day,Paula Abdul,"July 5, 1991",Dance-pop,4:32,Virgin,"Paula Abdul
Peter Lord
Sandra St. Victor
V. Jeffrey Smith","Peter Lord
V. Jeffrey Smith",,
Dark Lady (song),Cher,December 1973,Pop,3:27,MCA,Johnny Durrill,Snuff Garrett,,
War (The Temptations song),The Temptations,"March 6, 1970",Progressive soul,3:11,Gordy,"Norman Whitfield, Barrett Strong",Norman Whitfield,,
Mr. Blue,the Fleetwoods,1959,Pop,2:26,Dolton 5,DeWayne Blackwell,Kearney Barton,,
A Whole New World,"Brad Kane, Lea Salonga","October 31, 1992",Show tune,2:40,Walt Disney,,"Alan Menken
Tim Rice
Chris Montan",Tim Rice,Alan Menken
Before the Next Teardrop Falls (song),Freddy Fender,January 1975,"Country pop
Tejano",2:33,"Crazy Cajun 2002
ABC-Dot 17540","Vivian Keith
Ben Peters",Huey P. Meaux,,
Gonna Make You Sweat (Everybody Dance Now),"C+C Music Factory, Freedom Williams","November 18, 1990","Hip house
funk
dance-pop",4:06,Columbia,"Robert Clivillés
Frederick Williams
David Cole",Clivillés and Cole,,
(Sittin' On) The Dock of the Bay,Otis Redding,"January 8, 1968","Soul
folk",2:38,VoltAtco,Steve CropperOtis Redding,Steve Cropper,,
Harper Valley PTA,Jeannie C. Riley,August 1968,"Country, country pop",3:16,Plantation,Tom T. Hall[1],Shelby Singleton,,
Someday (Mariah Carey song),Mariah Carey,"November 28, 1990",Dance-popnew jack swingR&B,4:06,Columbia,Mariah CareyBen Margulies,Ric Wake,,
I'll Be Missing You,"Puff Daddy, Faith Evans, 112","May 27, 1997",Hip hopR&Bsoulrap rocksoft rock,5:43,"Bad Boy
Arista","Sting
Todd Gaither
Faith Evans","Puff Daddy
Stevie J",,
Philadelphia Freedom (song),Elton John Band,28 February 1975,"Philly soul
pop
disco",385:20,MCA DJM,"Elton John
Bernie Taupin",Gus Dudgeon,,
Angel of Mine,Eternal,29 September 1997,R&B,3:35,"EMI
1st Avenue","Rhett Lawrence
Travon Potts",Rhett Lawrence,,
One More Try (George Michael song),George Michael,11 April 1988,Blue-eyed soul,5:52,Columbia,George Michael,George Michael,,
Billy Don't Be a Hero,Paper Lace,April 1974,Pop,3:59,Mercury,"Mitch Murray, Peter Callander","Mitch Murray, Peter Callander",,
Informer (song),Snow,August 1992,"Reggae fusion
hip hop
dancehall",4:28,EastWest,"Edmond Leary
Darrin O'Brien
Shawn Moltke
Terri Moltke
Jeffrey Silva (associate writer)",MC Shan,,
Nice for What,Drake,"April 6, 2018",Bounce,3:30,"Young Money
Cash Money
Republic","Aubrey Graham
Shane Lindstrom
Alan Bergman
Marilyn Bergman
Dennis Coles
Robert Diggs
Gary Grice
Marvin Hamlisch
Lamont Hawkins
Lauryn Hill
Jason Hunter
Russell Jones
Clifford Smith
Corey Woods
Orville Hall
Phillip Price","40
Murda Beatz
Corey Litwin
Blaqnmild (co.)",,
The Twist (song),Chubby Checker,June 1960,"Pop
rock and roll",2:34,Parkway 811,Hank Ballard,Dave Appell,,
Humble (song),Kendrick Lamar,"March 30, 2017","Hip hop
trap",2:57,Top DawgAftermathInterscope,Kendrick DuckworthMichael Williams IIAsheton Hogan[4][5],Mike Will Made ItPluss[6],,
If You Leave Me Now,Chicago,"30 July 1976 
24 September 1976","Soft rock
pop",3:58,Columbia,Peter Cetera,James William Guercio,,
Lost in Emotion,Lisa Lisa and Cult Jam,July 1987,"Freestyle
dance-pop",5:07,Columbia,"Curt Bedeau
Gerry Charles
Hugh L Clarke
Brian George
Lucien George
Paul George",Full Force,,
Winchester Cathedral (song),the New Vaudeville Band,26 August 1966,"Novelty
music hall
pop",2:20,Fontana,Geoff Stephens,Geoff Stephens,,
Freak Me,Silk,"February 18, 1993",R&B,4:36,KeiaElektra,Keith SweatRoy MurrayTeno West,Keith SweatT.H.,,
(I Just) Died in Your Arms,Cutting Crew,25 July 1986,Pop rock,4:39,Virgin,Nick Van Eede,"Terry Brown
John Jansen
Cutting Crew",,
Heart of Glass (song),Blondie,January 1979,Disconew wavepopdance-rock,3:22,Chrysalis,Debbie HarryChris Stein,Mike Chapman,,
Lovin on Me,Jack Harlow,"November 10, 2023",Pop rap,2:18,"Generation Now
Atlantic","Jackman Harlow
Ozan Yildirim
Sean Momberger
Nik Frascona
Nickie Jon Pabón
Delbert M Greer
Reginald Nelton","Oz
Momberger
Nik D",,
How Do You Talk to an Angel,The Heights,"September 5, 1992",Pop rock,3:48,Capitol,Barry CoffingSteve TyrellStephanie Tyrell,Steve Tyrell,,
Lose Control (Teddy Swims song),Teddy Swims,"June 23, 2023","Soul
rock",3:30,Warner,"Jaten Dimsdale
Joshua Coleman
Julian Bunetta
Marco Rodriguez-Diaz Jr.
John Sudduth","Ammo
Julian Bunetta",,
Show and Tell (song),Al Wilson,August 1973,"Soul
pop",3:30,Rocky Road,Jerry Fuller,,,
Black Cat (song),Janet Jackson,"August 28, 1990","Hard rock
pop rock
dance-rock
glam metal",4:50,A&M,Janet Jackson,"Jellybean Johnson
Janet Jackson",,
Rock Me Gently (Andy Kim song),Andy Kim,"June 22, 1974","Pop rock
proto-disco",3:24,Capitol Records,Andy Kim,Andy Kim,,
Convoy (song),C. W. McCall,November 1975,"Country
truck-driving country",3:49,MGM,"Bill Fries
Chip Davis","Don Sears
Chip Davis",,
Buy U a Drank (Shawty Snappin'),"T-Pain, Yung Joc","February 20, 2007","R&B
snap",3:48,"Nappy Boy
Konvict
Jive","Faheem Najm
Jasiel Robinson",T-Pain,,
Exhale (Shoop Shoop),Whitney Houston,"November 6, 1995",R&B,3:25,Arista,Babyface,Babyface,,
About Damn Time,Lizzo,"April 14, 2022","Funk-pop
nu-disco",3:11,"Nice Life
Atlantic","Blake Slatkin
Eric Frederic
Larry Price
Malcolm McLaren
Melissa Jefferson
Ronald Larkins
Stephen Hague
Theron Makiel Thomas","Blake Slatkin
Ricky Reed",,
Papa Don't Preach,Madonna,"June 11, 1986",Dance-pop,4:29,"Sire
Warner Bros.",,"Madonna
Stephen Bray","Elliot
Madonna",Brian Elliot
London Bridge (Fergie song),Fergie,"July 18, 2006",Pop rap,3:28,"A&M
Interscope
will.i.am","Stacy Ferguson
Jamal Jones
Sean Garrett
Mike Hartnett",Polow da Don,,
Hard to Say I'm Sorry,Chicago,17 May 1982,Soft rock,3:42,"Full Moon, Warner Bros.","Peter Cetera, David Foster",David Foster,,
Green Tambourine,the Lemon Pipers,November 1967,Bubblegum poppsychedelic poppsychedelic rockraga rock,2:23,Buddah,Paul LekaShelley Pinz,Paul Leka,,
Crazy in Love,"Beyoncé, Jay-Z","May 18, 2003","Pop
hip hop
R&B",3:56,Columbia,Beyoncé KnowlesRich HarrisonEugene RecordShawn Carter,Beyoncé KnowlesRich Harrison,,
Butter (song),BTS,"May 21, 2021","Dance-pop
disco-pop
EDM",2:44,"Big Hit
Sony Music","Jenna Andrews
Rob Grimaldi
Stephen Kirk
RM
Alex Bilowitz
Sebastian Garcia
Ron Perry","Grimaldi
Kirk
Perry",,
Open Your Heart (Madonna song),Madonna,"November 12, 1986",Dance-pop,4:13,"Sire
Warner Bros.","Madonna
Gardner Cole
Peter Rafelson","Madonna
Patrick Leonard",,
Windy (song),the Association,"May 1, 1967",Psychedelic pop,2:53,Warner Bros.,Ruthann Friedman,Bones Howe,,
Sleep Walk,,August 1959,"Instrumental rock
surf rock
R&B
doo-wop",2:20,Canadian-American Records,"Santo Farina, Johnny Farina, Ann Farina[3]",Leonard Zimmer,,
My Eyes Adored You,Frankie Valli,October 1974,"Soul
soft rock",3:32,Private Stock,"Bob Crewe
Kenny Nolan",Bob Crewe,,
Another Day in Paradise,Phil Collins,23 October 1989,Soft rock,4:47,"Atlantic
Virgin
WEA",Phil Collins,"Phil Collins
Hugh Padgham",,
Just the Way You Are (Bruno Mars song),Bruno Mars,"July 20, 2010","Pop
soft rock
R&B",3:41,"Elektra
Atlantic","Bruno Mars
Philip Lawrence
Ari Levine
Khalil Walton
Khari Cain","The Smeezingtons
Needlz",,
Super Freaky Girl,Nicki Minaj,"August 12, 2022",Pop rap,2:50,"Young Money
Republic",,"Dr. Luke
Malibu Babie
Vaughn Oliver
Aaron Joseph","Onika Maraj
Gamal Lewis","James Johnson
Alonzo Miller
Lukasz Gottwald
Aaron Joseph
Lauren Miller
Vaughn Oliver
Stanley Burrell"
Lost in Your Eyes,Debbie Gibson,"January 6, 1989",Pop,3:34,Atlantic,Deborah Gibson,Fred Zarr,,
I Honestly Love You,Olivia Newton-John,August 1974,"Soft rock
pop
country",3:40,EMI,"Jeff Barry
Peter Allen",John Farrar,,
Live to Tell,Madonna,"March 26, 1986",Pop,4:37,"Sire
Warner Bros.","Madonna
Patrick Leonard","Madonna
Patrick Leonard",,
Flashdance... What a Feeling,Irene Cara,March 1983,"Pop
dance-pop
disco",3:55,CasablancaNetwork,,Giorgio Moroder,Keith ForseyIrene Cara,Giorgio Moroder
Imma Be,the Black Eyed Peas,"June 3, 2009   January 12, 2010",Hip hopEDM,4:16,Interscope,William AdamsAllan PinedaJaime GomezStacy FergusonKeith HarrisThomas BrenneckMichael DellerDaniel FoderJared Tankel,will.i.amKeith Harris,,
The Next Time I Fall,"Peter Cetera, Amy Grant",September 1986,Pop,3:47,Warner Bros.,Bobby CaldwellPaul Gordon,Michael Omartian,,
Tighten Up (Archie Bell & the Drells song),Archie Bell & the Drells,1968,"Funk
soul",3:15,Atlantic,"Archie Bell, Billy Buttler",,,
Bad Blood (Taylor Swift song),"Taylor Swift, Kendrick Lamar","May 17, 2015",Pop,313:19,Big Machine,"Taylor Swift
Max Martin
Shellback
Kendrick Lamar[a]","Max Martin
Shellback
Ilya[a]",,
Then Came You (Dionne Warwick and the Spinners song),"Dionne Warwick, the Spinners","July 13, 1974","Philadelphia soul
proto-disco",3:53,Atlantic,Sherman MarshallPhillip Pugh,Thom Bell,,
I'm Telling You Now,Freddie and the Dreamers,"September 1963  
March 1965",Merseybeat,2:05,Columbia  DB 7086 Tower 125,"Freddie Garrity, Mitch Murray",John Burgess,,
No More Tears (Enough Is Enough),"Barbra Streisand, Donna Summer",October 1979,"Disco
soul",4:39,"Columbia
Casablanca","Paul Jabara
Bruce Roberts","Gary Klein
Giorgio Moroder
Harold Faltermeyer (Summer 12"" version)",,
Don't Matter,Akon,"January 19, 2007","Reggae fusion
R&B",4:54,"Konvict
UpFront
SRC
Universal","Aliaune Thiam
Anthony Lawson
Bob Marley",Akon,,
Mack the Knife,,,Moritat,,,,,,
Closer (The Chainsmokers song),"the Chainsmokers, Halsey","July 29, 2016","Future bass
electropop",4:04,DisruptorColumbia,Andrew TaggartAshley FrangipaneShaun FrankFrederic KennettIsaac SladeJoe King,The Chainsmokers,,
Harlem Shake (song),Baauer,"May 22, 2012",Basship hoptrapelectropop,3:16,Jeffree'sMad Decent,Harry RodriquesHéctor DelgadoJayson MussonKurt Hunte [2],Baauer,,
I Just Called to Say I Love You,Stevie Wonder,"August 1, 1984",R&B,4:25,Motown – MOT-684,Stevie Wonder[3],Stevie Wonder,,
The Monster (song),"Eminem, Rihanna","October 29, 2013",Pop rap,4:12,AftermathShadyInterscope,Bebe RexhaMarshall MathersRobyn FentyAaron KleinstubJonathan BellionBryan FryzelMaki Athanasiou,Frequency,,
Mr. Tambourine Man,Bob Dylan,"March 22, 1965",Folk,5:32,Columbia,Bob Dylan,Tom Wilson,,
Runaround Sue,Dion,September 1961,Rock and rolldoo woppop,2:41,Laurie,Dion DiMucciErnie Maresca,Gene Schwartz,,
Got My Mind Set on You,"James Ray, Hutch Davie","December 8, 1962",RockR&Bsoul,3:26,Dynamic Sound,Rudy Clark,Hutch Davie,,
Money Maker,"Ludacris, Pharrell","July 17, 2006",Dirty rap,,"DTP, Def Jam","Christopher Bridges, Pharrell Williams",The Neptunes,,
Cream (Prince song),"Prince, the New Power Generation","September 9, 1991","Pop
funk
glam rock
R&B",4:12,"Paisley Park
Warner Bros.",Prince,Prince,,
I Can See Clearly Now,Johnny Nash,"June 23, 1972","Reggae
soul
R&B",2:45,Epic,Johnny Nash,Johnny Nash,,
That's What Friends Are For,Rod Stewart,1982,Pop,3:54,Warner Bros.,Burt BacharachCarole Bayer Sager,,,
The Loco-Motion,Little Eva,June 1962,"Pop, rhythm and blues",2:27,Dimension 1000,"Gerry Goffin, Carole King",Gerry Goffin,,
To Be with You,Mr. Big,"November 22, 1991","Glam metal
soft rock",3:27,Atlantic,"Eric Martin
David Grahame",Kevin Elson,,
