Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
We Built This City,,"August 26, 1985","Dance-rock, synth-rock",4:53 (album version) 4:49 (single version),"Grunt, , , RCA","Bernie Taupin, Martin Page, Dennis Lambert, Peter Wolf","Peter Wolf, Jeremy Smith"
We Can Work It Out,,3 December 1965 (1965-12-03),Folk rock,2:15,"Parlophone,  , , Capitol,",Lennon–McCartney,George Martin
We Can't Be Friends (Wait for Your Love),,"March 8, 2024 (2024-03-08)","Synth-pop, EDM",3:48,Republic,"Ariana Grande, Max Martin, Ilya Salmanzadeh","Ariana Grande, Max Martin, Ilya"
We Didn't Start the Fire,,"September 18, 1989 (1989-09-18)",Pop rock,4:49 (album version)4:29 (single version),Columbia,Billy Joel,"Mick Jones, Billy Joel"
We Don't Talk About Bruno,,"November 19, 2021","Salsa, Latin pop",3:36,Walt Disney,Lin-Manuel Miranda,"Lin-Manuel Miranda, Mike Elizondo"
We Found Love,,"September 22, 2011 (2011-09-22)","Electro house, pop",3:35,"Def Jam, SRP",Calvin Harris,Calvin Harris
We R Who We R,,"October 22, 2010 (2010-10-22)","Dance-pop, EDM, techno",3:24,RCA,"Kesha Sebert, Joshua Coleman, Lukasz Gottwald, Jacob Kasher Hindlin, Benjamin Levin","Dr. Luke, Benny Blanco, Ammo"
We're an American Band (song),,"July 2, 1973",Hard rock,3:263:31 (2002 remix),Capitol,Don Brewer,Todd Rundgren
Weak (SWV song),,"April 16, 1993 (1993-04-16)",,"4:51 (album version)
4:21 (single version)",RCA,Brian Alexander Morgan,Brian Alexander Morgan
Wedding Bell Blues,,September 1969,"Soul, bubblegum pop, Sunshine Pop",2:42,Soul City,Laura Nyro,Bones Howe
Welcome Back (John Sebastian song),,March 1976,"Folk rock, blues rock",2:51,Reprise,John Sebastian,"Steve Barri, John Sebastian"
West End Girls,,9 April 1984 (1984-04-09),Synth-pop,4:45,Bobcat,"Neil Tennant, Chris Lowe",Bobby Orlando
What a Fool Believes,,"July 12, 1978",Soft rock,3:37,Columbia,"Kenny Loggins, Michael McDonald",Bob James
What a Girl Wants (Christina Aguilera song),,"September 4, 1999","Teen pop, R&B",3:52 (original version)3:35 (video version)3:20 (radio edit),"Arista Records, RCA","Shelly Peiken, Guy Roche",Guy Roche
What Do You Mean?,,"August 28, 2015 (2015-08-28)","Pop, tropical house",3:26,Def Jam,"Justin Bieber, Jason Boyd, Mason Levy","MdL, Bieber, [, 1, ]"
What Goes Around... Comes Around,,"December 19, 2006 (2006-12-19)","Psychedelic pop, sophisti-pop",7:29 (album version)5:13 (radio edit),"Jive, Zomba","Justin Timberlake, Tim Mosley, Nate ""Danja"" Hills","Timbaland, Justin Timberlake, Nate ""Danja"" Hills"
What's Love Got to Do with It (song),,May 1984,"Pop rock, R&B",3:48,Capitol,"Graham Lyle, Terry Britten",Terry Britten
What's My Name? (Rihanna song),,"October 25, 2010 (2010-10-25)","Electro, -, R&B",4:23,", Def Jam, 
, SRP,","Mikkel S. Eriksen, Tor Erik Hermansen, Ester Dean, Traci Hale, Aubrey Graham","Stargate, Kuk Harrell"
What's Next (Drake song),,"March 5, 2021 (2021-03-05)",Trap,2:58,", Republic, 
, OVO,","Aubrey Graham, Jonathan Priester, Maneesh Bidaye","Maneesh, Supah Mario"
Whatcha Say,,"May 5, 2009 (2009-05-05) (download)
August 4, 2009 (single)","Pop, R&B",3:42,", Beluga Heights, 
, Asylum, 
, Warner Bros.,","Jason Desrouleaux, Kisean Anderson, Achraf Baachaoui, J-Lex, Leff Row, J.R. Rotem, Imogen Heap","J.R. Rotem, Fuego"
Whatever Gets You thru the Night,,23 September 1974 (US) 4 October 1974 (UK),"Pop, funk, R&B",3:27,Apple,John Lennon,John Lennon
Whatever You Like,,"July 29, 2008 (2008-07-29)","Pop-rap, Southern hip hop",4:09 (album version)3:40 (radio edit),"Grand Hustle, Atlantic","Clifford Harris, James Scheffer, David Siegel",Jim Jonsin
When a Man Loves a Woman (song),,March 1966,"Soul, Southern soul",2:51,Atlantic,"Calvin Lewis, Andrew Wright","Marlin Greene, Quin Ivy"
When Doves Cry,,"May 16, 1984 (1984-05-16)","Experimental pop, neo-psychedelia, soul, avant-pop, synth-pop, funk","3:47 (7"" single edit)5:52 (12""/album version)",Warner Bros.,Prince,Prince
When I Need You,,February 1977,Soft rock,4:09,"Chrysalis,  , Warner Bros.,","Albert Hammond, Carole Bayer Sager",Richard Perry
When I See You Smile,,"August 30, 1989 (1989-08-30)","Glam metal, pop rock",4:17,Epic,Diane Warren,Richie Zito
When I Think of You,,"July 28, 1986 (1986-07-28)","Dance-pop, R&B, synth-funk",3:56,A&M,"James Harris III, Terry Lewis",Jimmy Jam and Terry Lewis
When I Was Your Man,,"January 15, 2013",Pop,3:34,Atlantic,"Bruno Mars, Philip Lawrence, Ari Levine, Andrew Wyatt",The Smeezingtons
When I'm with You (Sheriff song),,"January 1983 (Canada)
May 14, 1983 (1983-05-14), November 16, 1988 (U.S.)",Soft rock,3:58,Capitol,Arnold Lanni,Stacy Heydon
Where Did Our Love Go,,"June 17, 1964","Pop-soul, pop, R&B",2:33,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Where Do Broken Hearts Go,,February 1988,"Pop, soul, R&B",4:38,Arista,"Frank Wildhorn, Chuck Jackson",Narada Michael Walden
Whistle (Flo Rida song),,"April 24, 2012 (2012-04-24)","Electropop, hip house",3:45,", Poe Boy, 
, Atlantic,","Tramar Dillard, David Glass, Marcus Killian, Justin Franks, Breyan Isaac, Antonio Mobley","DJ Frank E, Glass"
Who Can It Be Now?,,25 May 1981 (Australia)May 1982 (US),"Pop rock, new wave",3:23,Columbia,Colin Hay,Peter McIan
Who's That Girl (Madonna song),,"June 29, 1987",Dance-pop,3:58,", Sire, 
, Warner Bros.,","Madonna, Patrick Leonard","Madonna, Patrick Leonard"
A Whole New World,,"October 31, 1992 (1992-10-31)",Show tune,2:40 (soundtrack version),Walt Disney,,"Alan Menken, Tim Rice, Chris Montan"
Why (Frankie Avalon song),,"November 9, 1959",Pop,2:30,"Chancellor,  1045","Peter De Angelis, Bob Marcucci",
Wild Thing (The Troggs song),,22 April 1966 (1966-04-22),"Garage rock, hard rock, proto-punk, psychedelia",2:30,", Fontana,  , 
, Atco,  & Fontana ,",Chip Taylor,Larry Page
Wild Wild West (Will Smith song),,"May 11, 1999 (1999-05-11)","Country rap, pop rap","4:05 (album version)
3:29 (radio version)",", Overbrook, 
, Columbia,","Kool Moe Dee, Rob Fusari, Will Smith, Stevie Wonder","Rob Fusari, Mark Wilson"
"Wild, Wild West (The Escape Club song)",,1988,Dance-rock,"5:44 (LP version)
3:59 (Single edit)
7:54 (Dance mix)",", WEA, 
, Atlantic,",The Escape Club,Chris Kimsey
Will It Go Round in Circles,,March 1973,"Funk, soul",3:42 (single version)4:28 (album version),A&M,"Billy Preston, Bruce Fisher",Billy Preston
Will You Love Me Tomorrow,,November 1960 (US)1961 (UK),"Brill Building, doo-wop, pop, soul",2:41,Scepter,,Luther Dixon
Willow (song),,"December 11, 2020 (2020-12-11)",Chamber folk,3:34,Republic,"Taylor Swift, Aaron Dessner",Aaron Dessner
Winchester Cathedral (song),,26 August 1966,"Novelty, music hall, pop",2:20,Fontana,Geoff Stephens,Geoff Stephens
Wind Beneath My Wings,,,Pop,,Avenue Records BA 223025,"(, L. Henley, /J. Silbar)",
Windy (song),,"May 1, 1967",Psychedelic pop,2:53,Warner Bros.,Ruthann Friedman,Bones Howe
Wishing Well (Terence Trent D'Arby song),,"June 8, 1987 (UK)January 1988 (US)","Soul, pop, funk",3:33,CBS,"Terence Trent D'Arby, Sean Oliver","Terence Trent D'Arby, Martyn Ware"
With a Little Luck,,20 March 1978,"Synth-pop, yacht rock",5:45 (full-length version)3:13 (radio edit version),"Parlophone,  , Capitol,",Paul McCartney,Paul McCartney
With Arms Wide Open,,"April 18, 2000 (2000-04-18)",,"4:36 (album version)
3:53 (radio version)",", Wind-up, 
, Epic,","Scott Stapp, Mark Tremonti","Ron Saint Germain, John Kurzweg"
With or Without You,,16 March 1987,Rock,4:56,Island,,"Daniel Lanois, Brian Eno"
Without Me (Halsey song),,"October 4, 2018 (2018-10-04)","Pop, electropop",3:21,Capitol,"Ashley Frangipane, Brittany Amaradio, Amy Allen, Louis Bell, Justin Timberlake, Timothy Mosley, Scott Storch",Louis Bell
Without You (Badfinger song),,9 November 1970 (1970-11-09),,4:43,Apple,"Pete Ham, Tom Evans",Geoff Emerick
Woman in Love,,"August 16, 1980","Soft rock, post-disco",3:49,Columbia,"Barry Gibb, Robin Gibb",Gibb-Galuten-Richardson
Womanizer (song),,"September 26, 2008","Electropop, dance-pop",3:44,"Jive, Zomba",The Outsyders,The Outsyders
Wonderland by Night,,August 1960,"Jazz, R&B",3:14,"Decca,  31141","Klaus Günter Neumann, Lincoln Chase (English lyrics)",
Wooden Heart,,"23 September 1960 (1960-09-23) (G.I. Blues album)
10 March 1961 (1961-03-10) (UK single)
November 1964 (1964-11) (single)","Pop, folk",2:03,RCA,"Fred Wise, Ben Weisman, Kay Twomey, Bert Kaempfert, [, 1, ]","Steve Sholes, [, 1, ]"
Work (Rihanna song),,"January 27, 2016 (2016-01-27)","Dancehall, reggae-pop, R&B",3:39,"Roc Nation, Westbury Road","Jahron Brathwaite, Matthew Samuels, Allen Ritter, Rupert Thomas Jr., Aubrey Graham, Robyn Fenty, Monte Moir",Boi-1da
A World Without Love,,28 February 1964,Pop,2:41,"Columbia, , , Capitol",Lennon–McCartney,Norman Newell
Wrecking Ball (Miley Cyrus song),,"August 25, 2013 (2013-08-25)",Pop,3:41[1],RCA,"Maureen McDonald, Stephan Moccio, Wallace Skarbek, David Kim, Lukasz Gottwald, Henry Walter","Dr. Luke, Cirkut"
Yeah! (Usher song),,"January 10, 2004 (2004-01-10)",Crunk&B,4:13,Arista,"Christopher Bridges, James Phillips, Jonathan Smith, LaMarquis Jefferson, Patrick Smith, Sean Garrett",Lil Jon
"Yes, And?",,"January 12, 2024","House, pop",3:34,Republic,"Ariana Grande, Max Martin, Ilya Salmanzadeh","Ariana Grande, Max Martin, Ilya"
Yesterday (song),,13 September 1965 (1965-09-13),"Chamber pop, pop rock",2:03,"Capitol,  , , Parlophone,",Lennon–McCartney,George Martin
You Ain't Seen Nothing Yet (Bachman–Turner Overdrive song),,September 1974,Hard rock,"3:54 (album version)
3:31 (single version)",Mercury,Randy Bachman,Randy Bachman
You Are Not Alone,,"August 15, 1995 (1995-08-15)","Pop, R&B","5:45 (album version)
4:54 (single edit)
4:34 (radio edit)",", Epic, 
, Sony, 
, MJJ,",R. Kelly,"R. Kelly, Michael Jackson"
You Are the Sunshine of My Life,,March 1973,"Pop-soul, easy listening",2:58,Tamla,Stevie Wonder,Stevie Wonder
You Can't Hurry Love,,"July 25, 1966","Pop, soul, R&B, Motown sound",2:44,"Motown,  M 1097",Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
You Don't Bring Me Flowers,,October 1978,Easy listening,3:25,Columbia,"Neil Diamond, Alan and Marilyn Bergman",Bob Gaudio
You Don't Have to Be a Star (To Be in My Show),,September 1976,"R&B, soul",4:41 (Album version)3:40 (Single version),ABC Records,"James Dean, John Glover",Don Davis
You Give Love a Bad Name,,"July 23, 1986","Glam metal, hard rock",3:42,Mercury,"Desmond Child, Jon Bon Jovi, Richie Sambora",Bruce Fairbairn
You Haven't Done Nothin',,"August 7, 1974",Funk rock,3:29,Tamla Motown,Stevie Wonder,
You Keep Me Hangin' On,,"October 12, 1966","Rock, pop, psychedelic soul",2:40,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
You Light Up My Life (song),,"August 16, 1977 (Charted the week of September 3)",Pop,3:29,Arista,"Joe Brooks, [, 1, ]",Joe Brooks
You Make Me Feel Like Dancing,,October 1976,"Disco, pop, R&B","3:412:50 (7"" version)","Chrysalis,  , Warner Bros.,","Leo Sayer, Vini Poncia, [, 1, ], [, 2, ]",Richard Perry
You Needed Me,,May 1978,Soft rock,3:41,"Capitol,  4574",Randy Goodrum,Jim Ed Norman
You Should Be Dancing,,June 1976 (1976-06),Disco,"4:16 (single)4:47 (12"" version)",RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson"
You're Beautiful,,18 May 2005,"Pop rock, soft rock, alternative rock","3:32 (album version)
3:22 (single edit)",", Atlantic, 
, Custard,","James Blunt, Sacha Skarbek, Amanda Ghost",Tom Rothrock
(You're) Having My Baby,,June 1974 (US),"Soft rock, easy listening",2:32,"United Artists Records,  , UA-XW454-W",Paul Anka,Rick Hall
You're in Love (Wilson Phillips song),,"January 30, 1991","Pop, soft rock","3:59 (radio version)
4:35 (main version)",SBK,"Glen Ballard, Wilson Phillips",Glen Ballard
You're Makin' Me High,,"May 13, 1996 (1996-05-13)",R&B,"4:27 (album mix)
4:12 (single mix)",", LaFace, 
, Arista,","Kenneth Edmonds, Bryce Wilson","Babyface, Bryce Wilson"
You're No Good,,1963,R&B,2:30,Jubilee,Clint Ballard Jr.,Jerry Leiber and Mike Stoller
You're Sixteen,,October 1960,Pop,1:56,", Liberty,  , 
, London,  ,","Robert B. Sherman, Richard M. Sherman",Snuff Garrett
U Got It Bad,,"August 21, 2001 (2001-08-21)",R&B,4:07,", Arista, 
, LaFace,","Usher Raymond IV, Jermaine Dupri, Bryan-Michael Cox",Jermaine Dupri
U Remind Me,,"May 22, 2001 (2001-05-22)",R&B,4:27,Arista,"Anita McCloud, Edmund Clement","Edmund Clement, Jimmy Jam & Terry Lewis"
Umbrella (song),,"March 29, 2007 (2007-03-29)","Pop, hip hop, R&B",4:36,", Def Jam, 
, SRP,","Christopher Stewart, Terius Nash, Kuk Harrell, Shawn Carter",Tricky Stewart
Un-Break My Heart,,"October 7, 1996 (1996-10-07)","Pop, R&B",4:30 (album version)4:26 (remix version),LaFace,Diane Warren,David Foster
Unbelievable (EMF song),,22 October 1990 (UK)3 November 1990 (US),"Dance-rock, alternative rock, alternative dance",3:30,"Parlophone,  , EMI,",EMF,Ralph Jezzard
Uncle Albert/Admiral Halsey,,2 August 1971 (US only),Progressive pop,4:49,Apple,Paul and Linda McCartney,Paul and Linda McCartney
Undercover Angel (song),,February 1977,Pop,4:12 (album version)3:24 (single version),Pacific,Alan O'Day,"Steve Barri, and, Michael Omartian"
Unholy (Sam Smith and Kim Petras song),,22 September 2022 (2022-09-22),"Electropop, synth-pop, dance-pop, EDM",2:36,", Capitol, 
, EMI,","Sam Smith, Kim Petras, James Napier, Ilya Salmanzadeh, Henry Walter, Blake Slatkin, Omer Fedi","Sam Smith, Kim Petras, Ilya, Cirkut, Slatkin, Fedi, Jimmy Napes"
Unpretty,,"May 17, 1999 (1999-05-17)","Pop rock, alternative rock, R&B","4:38 (album version)
4:08 (radio version)",", LaFace, 
, Arista,","Dallas Austin, Tionne Watkins",Dallas Austin
Up (Cardi B song),,"February 5, 2021 (2021-02-05)","Hip-hop, trap, pop-rap",2:36,Atlantic,"Joshua Baker, Jorden Thorpe, Edis Selmani, CEO Mark Savage, James Steed, Matthew Allen","Yung Dza, DJ SwanQo, Sean Island, DJ Prince"
Up Where We Belong,,"July 22, 1982 (1982-07-22)","Pop, soft rock, easy listening","4:00 (single)
3:55 (album)",Island,,Stewart Levine
Upside Down (Diana Ross song),,"June 18, 1980 (1980-06-18)","Disco, pop","4:05 (album)
3:37 (single)",Motown,"Nile Rodgers, Bernard Edwards","Nile Rodgers, Bernard Edwards"
Uptown Funk,,10 November 2014 (2014-11-10),"Funk, -, pop, soul, boogie, disco-pop, Minneapolis sound","4:30 (album version)
3:55 (radio edit)",", Columbia, 
, Sony, 
, RCA,","Mark Ronson, Bruno Mars, Philip Lawrence, Jeff Bhasker, Nicholas Williams, Devon Gallaspy, Charles Wilson, Robert Wilson, Ronnie Wilson, Rudolph Taylor, Lonnie Simmons","Mark Ronson, Jeff Bhasker, Bruno Mars"
Vampire (Olivia Rodrigo song),,"June 30, 2023 (2023-06-30)","Pop rock, pop",3:39,", Geffen, 
, Interscope,","Olivia Rodrigo, Dan Nigro",Dan Nigro
Venus (Frankie Avalon song),,January 1959,Pop,2:20,Chancellor,Ed Marshall,
Venus (Shocking Blue song),,14 July 1969 (1969-07-14),"Country rock, dance-rock, psychedelic rock",3:08,Pink Elephant,"Robbie van Leeuwen, [, 4, ]",Robbie van Leeuwen
A View to a Kill (song),,7 May 1985 (1985-05-07),"Synth-pop, new wave",3:37 (single version),", EMI, 
, Capitol,","Duran Duran, John Barry","Bernard Edwards, Jason Corsaro, Duran Duran"
Vision of Love,,"May 15, 1990 (1990-05-15)","Pop, soul, R&B",3:29,Columbia,"Mariah Carey, Ben Margulies","Rhett Lawrence, Narada Michael Walden"
Viva la Vida,,7 May 2008 (2008-05-07) (album version)25 May 2008 (2008-05-25) (single version),"Baroque pop, orchestral pop, art rock","4:01 (album version)
4:04 (single version)
3:45 (radio edit)",", Parlophone, 
, Capitol,","Guy Berryman, Jonny Buckland, Will Champion, Chris Martin","Markus Dravs, Brian Eno, Jon Hopkins, Rik Simpson"
Vogue (Madonna song),,"March 20, 1990 (1990-03-20)",House,"4:49 (album version)
4:21 (single version)",", Sire, 
, Warner Bros.,","Madonna, Shep Pettibone","Madonna, Shep Pettibone"
Wait for U,,"May 3, 2022",R&B,3:10,", Epic, 
, Freebandz,","Nayvadius Wilburn, Aubrey Graham, Temilade Openiyi, Michael Mule, Isaac De Boni, Floyd E. Bentley III, Jacob Canady, Tejiri Akpoghene","ATL Jacob, FnZ"
Wake Me Up Before You Go-Go,,14 May 1984,Bubblegum pop,3:50,", Columbia, 
, Epic,",George Michael,George Michael
Walk Like a Man (The Four Seasons song),,January 1963,"Rock and roll, pop, doo-wop",2:17,Vee-Jay,"Bob Crewe, Bob Gaudio",Bob Crewe
Walk Like an Egyptian,,"September 1, 1986 (1986-09-01)","Pop rock, new wave, novelty",3:24,", Columbia, 
, Bangle-a-lang Music,",Liam Sternberg,David Kahne
Walk Right In,,December 1962 (1962-12),"Folk, folk-pop, novelty",2:33,Vanguard,"Gus Cannon, Hosea Woods","Erik Darling, Bill Svanoe"
Wannabe,,26 June 1996 (1996-06-26),Dance-pop,2:54,Virgin,"Spice Girls, Matt Rowe, Richard Stannard","Matt Rowe, Richard Stannard"
Want Ads,,March 1971,"R&B, soul, funk","3:50 (""Soulful Tapestry"" version)2:45 (""Sweet Replies"" version)",Hot Wax,"Greg Perry, Barney Perkins, and, General Norman Johnson",Greg Perry
WAP (song),,"August 7, 2020 (2020-08-07)","Hip hop, dirty rap, trap",3:07 (single version)2:46 (radio edit),Atlantic,"Belcalis Almanzar, Megan Pete, Austin Owens, James Foye III, Frank Rodriguez, Jorden Thorpe","Ayo the Producer, Keyz"
War (The Temptations song),,"March 6, 1970 (1970-03-06)",Progressive soul,3:11,Gordy,"Norman Whitfield, Barrett Strong",Norman Whitfield
Waterfalls (TLC song),,May 1995 (US)July 1995 (UK),"R&B, hip hop, pop",4:40 (album version)4:19 (single edit)3:32 (no rap edit),", LaFace, 
, Arista,","Marqueze Etheridge, Lisa Lopes, Organized Noize",Organized Noize
Watermelon Sugar,,18 May 2020 (2020-05-18),"Rock, funk, -, pop",2:53,", Erskine, 
, Columbia,","Harry Styles, Mitch Rowland, Tyler Johnson, Thomas Hull","Johnson, Kid Harpoon"
Way 2 Sexy,,"September 3, 2021","Comedy rap, trap",4:18,", Republic, 
, OVO,","Aubrey Graham, Nayvadius Wilburn, Jeffery Williams, Bryan Simmons, Lesidney Ragland, Fred Fairbrass, Richard Fairbrass, Robert Manzoli","TM88, Too Dope"
The Way It Is (Bruce Hornsby song),,July 1986 (UK)September 1986 (worldwide),"Soft rock, pop",4:58,RCA,Bruce Hornsby,"Bruce Hornsby, Elliot Scheiner"
The Way We Were (song),,"September 27, 1973 (1973-09-27)","Pop, soft rock, easy listening",3:29,Columbia,"Alan Bergman, Marilyn Bergman, Marvin Hamlisch",Marty Paich
The Way You Move,,"August 25, 2003 (2003-08-25)","Hip hop soul, Southern hip hop",3:55,"LaFace, , , Arista","Antwan Patton, Carlton Mahone, Patrick Brown","Big Boi, Carl-Mo"
We Are Never Ever Getting Back Together,,"August 13, 2012 (2012-08-13)","Bubblegum pop, dance-pop, europop, electropop, pop rock, electro-folk",3:12,Big Machine,"Taylor Swift, Max Martin, Shellback","Max Martin, Shellback, Taylor Swift, [, note 1, ]"
We Are the World,,"March 7, 1985 (1985-03-07)","Pop, gospel","7:02 (album version)
6:22 (single version)",", Columbia, 
, CBS,","Michael Jackson, Lionel Richie","Quincy Jones, Michael Omartian"
We Are Young,,"September 20, 2011","Arena rock, indie rock, indie pop",4:10 (album version)3:53 (radio edit),", Fueled by Ramen, 
, Nettwerk, 
, Atlantic,","Jack Antonoff, Jeff Bhasker, Andrew Dost, Nathaniel Ruess",Jeff Bhasker
We Belong Together,,"March 15, 2005 (2005-03-15)",R&B,3:21,Island Def Jam,"Mariah Carey, Jermaine Dupri, Manuel Seal, Johntá Austin, Kenneth Edmonds, Darnell Bristol, Bobby Womack, Patrick Moten, Sandra Sully","Mariah Carey, Jermaine Dupri, Manuel Seal"
We Built This City,,"August 26, 1985","Dance-rock, synth-rock",4:53 (album version) 4:49 (single version),"Grunt, , , RCA","Bernie Taupin, Martin Page, Dennis Lambert, Peter Wolf","Peter Wolf, Jeremy Smith"
We Can Work It Out,,3 December 1965 (1965-12-03),Folk rock,2:15,"Parlophone,  , , Capitol,",Lennon–McCartney,George Martin
We Can't Be Friends (Wait for Your Love),,"March 8, 2024 (2024-03-08)","Synth-pop, EDM",3:48,Republic,"Ariana Grande, Max Martin, Ilya Salmanzadeh","Ariana Grande, Max Martin, Ilya"
We Didn't Start the Fire,,"September 18, 1989 (1989-09-18)",Pop rock,4:49 (album version)4:29 (single version),Columbia,Billy Joel,"Mick Jones, Billy Joel"
We Don't Talk About Bruno,,"November 19, 2021","Salsa, Latin pop",3:36,Walt Disney,Lin-Manuel Miranda,"Lin-Manuel Miranda, Mike Elizondo"
We Found Love,,"September 22, 2011 (2011-09-22)","Electro house, pop",3:35,"Def Jam, SRP",Calvin Harris,Calvin Harris
We R Who We R,,"October 22, 2010 (2010-10-22)","Dance-pop, EDM, techno",3:24,RCA,"Kesha Sebert, Joshua Coleman, Lukasz Gottwald, Jacob Kasher Hindlin, Benjamin Levin","Dr. Luke, Benny Blanco, Ammo"
We're an American Band (song),,"July 2, 1973",Hard rock,3:263:31 (2002 remix),Capitol,Don Brewer,Todd Rundgren
Weak (SWV song),,"April 16, 1993 (1993-04-16)",,"4:51 (album version)
4:21 (single version)",RCA,Brian Alexander Morgan,Brian Alexander Morgan
Wedding Bell Blues,,September 1969,"Soul, bubblegum pop, Sunshine Pop",2:42,Soul City,Laura Nyro,Bones Howe
Welcome Back (John Sebastian song),,March 1976,"Folk rock, blues rock",2:51,Reprise,John Sebastian,"Steve Barri, John Sebastian"
West End Girls,,9 April 1984 (1984-04-09),Synth-pop,4:45,Bobcat,"Neil Tennant, Chris Lowe",Bobby Orlando
What a Fool Believes,,"July 12, 1978",Soft rock,3:37,Columbia,"Kenny Loggins, Michael McDonald",Bob James
What a Girl Wants (Christina Aguilera song),,"September 4, 1999","Teen pop, R&B",3:52 (original version)3:35 (video version)3:20 (radio edit),"Arista Records, RCA","Shelly Peiken, Guy Roche",Guy Roche
What Do You Mean?,,"August 28, 2015 (2015-08-28)","Pop, tropical house",3:26,Def Jam,"Justin Bieber, Jason Boyd, Mason Levy","MdL, Bieber, [, 1, ]"
What Goes Around... Comes Around,,"December 19, 2006 (2006-12-19)","Psychedelic pop, sophisti-pop",7:29 (album version)5:13 (radio edit),"Jive, Zomba","Justin Timberlake, Tim Mosley, Nate ""Danja"" Hills","Timbaland, Justin Timberlake, Nate ""Danja"" Hills"
What's Love Got to Do with It (song),,May 1984,"Pop rock, R&B",3:48,Capitol,"Graham Lyle, Terry Britten",Terry Britten
What's My Name? (Rihanna song),,"October 25, 2010 (2010-10-25)","Electro, -, R&B",4:23,", Def Jam, 
, SRP,","Mikkel S. Eriksen, Tor Erik Hermansen, Ester Dean, Traci Hale, Aubrey Graham","Stargate, Kuk Harrell"
What's Next (Drake song),,"March 5, 2021 (2021-03-05)",Trap,2:58,", Republic, 
, OVO,","Aubrey Graham, Jonathan Priester, Maneesh Bidaye","Maneesh, Supah Mario"
Whatcha Say,,"May 5, 2009 (2009-05-05) (download)
August 4, 2009 (single)","Pop, R&B",3:42,", Beluga Heights, 
, Asylum, 
, Warner Bros.,","Jason Desrouleaux, Kisean Anderson, Achraf Baachaoui, J-Lex, Leff Row, J.R. Rotem, Imogen Heap","J.R. Rotem, Fuego"
Whatever Gets You thru the Night,,23 September 1974 (US) 4 October 1974 (UK),"Pop, funk, R&B",3:27,Apple,John Lennon,John Lennon
Whatever You Like,,"July 29, 2008 (2008-07-29)","Pop-rap, Southern hip hop",4:09 (album version)3:40 (radio edit),"Grand Hustle, Atlantic","Clifford Harris, James Scheffer, David Siegel",Jim Jonsin
When a Man Loves a Woman (song),,March 1966,"Soul, Southern soul",2:51,Atlantic,"Calvin Lewis, Andrew Wright","Marlin Greene, Quin Ivy"
When Doves Cry,,"May 16, 1984 (1984-05-16)","Experimental pop, neo-psychedelia, soul, avant-pop, synth-pop, funk","3:47 (7"" single edit)5:52 (12""/album version)",Warner Bros.,Prince,Prince
When I Need You,,February 1977,Soft rock,4:09,"Chrysalis,  , Warner Bros.,","Albert Hammond, Carole Bayer Sager",Richard Perry
When I See You Smile,,"August 30, 1989 (1989-08-30)","Glam metal, pop rock",4:17,Epic,Diane Warren,Richie Zito
When I Think of You,,"July 28, 1986 (1986-07-28)","Dance-pop, R&B, synth-funk",3:56,A&M,"James Harris III, Terry Lewis",Jimmy Jam and Terry Lewis
When I Was Your Man,,"January 15, 2013",Pop,3:34,Atlantic,"Bruno Mars, Philip Lawrence, Ari Levine, Andrew Wyatt",The Smeezingtons
When I'm with You (Sheriff song),,"January 1983 (Canada)
May 14, 1983 (1983-05-14), November 16, 1988 (U.S.)",Soft rock,3:58,Capitol,Arnold Lanni,Stacy Heydon
Where Did Our Love Go,,"June 17, 1964","Pop-soul, pop, R&B",2:33,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Where Do Broken Hearts Go,,February 1988,"Pop, soul, R&B",4:38,Arista,"Frank Wildhorn, Chuck Jackson",Narada Michael Walden
Whistle (Flo Rida song),,"April 24, 2012 (2012-04-24)","Electropop, hip house",3:45,", Poe Boy, 
, Atlantic,","Tramar Dillard, David Glass, Marcus Killian, Justin Franks, Breyan Isaac, Antonio Mobley","DJ Frank E, Glass"
Who Can It Be Now?,,25 May 1981 (Australia)May 1982 (US),"Pop rock, new wave",3:23,Columbia,Colin Hay,Peter McIan
Who's That Girl (Madonna song),,"June 29, 1987",Dance-pop,3:58,", Sire, 
, Warner Bros.,","Madonna, Patrick Leonard","Madonna, Patrick Leonard"
A Whole New World,,"October 31, 1992 (1992-10-31)",Show tune,2:40 (soundtrack version),Walt Disney,,"Alan Menken, Tim Rice, Chris Montan"
Why (Frankie Avalon song),,"November 9, 1959",Pop,2:30,"Chancellor,  1045","Peter De Angelis, Bob Marcucci",
Wild Thing (The Troggs song),,22 April 1966 (1966-04-22),"Garage rock, hard rock, proto-punk, psychedelia",2:30,", Fontana,  , 
, Atco,  & Fontana ,",Chip Taylor,Larry Page
Wild Wild West (Will Smith song),,"May 11, 1999 (1999-05-11)","Country rap, pop rap","4:05 (album version)
3:29 (radio version)",", Overbrook, 
, Columbia,","Kool Moe Dee, Rob Fusari, Will Smith, Stevie Wonder","Rob Fusari, Mark Wilson"
